0,3,60
8,3,57
7,3,57
4,3,57
10,3,57
15,3,56
1,3,55
6,3,55
11,3,55
14,3,55
12,3,55
2,3,54
5,3,53
3,3,53
0,5,48
8,5,46
10,5,46
4,5,45
7,5,45
11,5,45
15,5,45
14,5,44
6,5,44
12,5,44
1,5,44
5,5,43
2,5,43
3,5,42
0,2,39
10,2,37
8,2,37
4,2,37
7,2,37
15,2,36
11,2,36
6,2,36
1,2,36
14,2,36
2,2,35
12,2,35
0,6,35
5,2,34
3,2,34
8,6,33
10,6,33
4,6,33
15,6,33
7,6,32
6,6,32
1,6,32
14,6,32
11,6,32
12,6,31
5,6,31
2,6,31
3,6,30
0,14,29
0,15,28
0,1,28
10,14,28
8,14,28
7,14,27
4,14,27
10,15,27
14,14,27
11,14,27
8,15,27
7,1,27
15,14,27
4,15,27
7,15,27
8,1,26
4,1,26
12,14,26
15,15,26
1,1,26
6,14,26
10,1,26
1,14,26
11,15,26
14,15,26
12,15,26
2,14,26
6,15,26
11,1,26
15,1,26
1,15,25
5,14,25
14,1,25
6,1,25
5,15,25
12,1,25
3,14,25
2,1,25
2,15,25
5,1,24
3,15,24
0,11,24
3,1,24
0,12,24
10,12,23
10,11,23
12,12,23
8,12,23
0,4,23
11,11,23
7,12,23
8,11,23
7,11,23
4,11,23
4,12,23
11,12,23
14,12,23
4,4,23
12,11,23
10,4,22
15,12,22
7,4,22
6,12,22
14,11,22
15,11,22
11,4,22
1,11,22
8,4,22
1,12,22
6,11,22
2,12,22
5,12,22
12,4,22
15,4,22
14,4,21
1,4,21
2,11,21
6,4,21
3,12,21
5,11,21
3,11,21
2,4,21
5,4,21
3,4,20
0,7,17
7,7,17
0,10,17
8,7,16
4,7,16
10,10,16
10,7,16
8,10,16
1,7,16
11,7,16
7,10,16
15,7,16
4,10,16
11,10,15
12,7,15
14,7,15
6,7,15
12,10,15
15,10,15
14,10,15
2,7,15
1,10,15
6,10,15
5,7,15
2,10,15
3,7,15
5,10,14
3,10,14
8,8,14
0,8,14
10,8,13
7,8,13
4,8,13
11,8,13
1,8,12
15,8,12
14,8,12
6,8,12
12,8,12
2,8,12
5,8,12
3,8,12
0,0,11
8,0,10
10,0,10
7,0,10
4,0,10
15,0,10
11,0,10
1,0,10
12,0,10
14,0,10
6,0,10
2,0,10
5,0,9
3,0,9
13,3,4
13,5,4
13,6,3
13,1,3
13,2,3
13,14,3
13,12,2
13,11,2
13,15,2
13,7,2
13,8,1
13,0,1
13,13,1
9,9,1
13,4,1
13,10,1
9,13,1
13,9,1
9,15,1
9,2,1
0,13,1
8,13,0
10,13,0
7,13,0
4,13,0
11,13,0
12,13,0
1,13,0
15,13,0
15,9,0
14,13,0
6,13,0
6,9,0
9,6,0
2,13,0
2,9,0
5,13,0
3,13,0
0,9,0
9,0,0
8,9,0
9,8,0
9,10,0
10,9,0
7,9,0
9,7,0
4,9,0
9,4,0
9,11,0
11,9,0
9,12,0
12,9,0
1,9,0
9,1,0
9,14,0
14,9,0
5,9,0
9,5,0
3,9,0
9,3,0
